seed,method,success,t_goal,min_clearance,viols,max_penetration,path_len
34,adaptive,1,244,0.3074711561203003,0,0.0,14.717416763305664
35,vanilla,1,224,0.18151259422302246,0,0.0,15.086965560913086
35,adaptive,1,251,0.12890124320983887,0,0.0,16.807334899902344
36,vanilla,0,242,-0.012503385543823242,5,0.012503385543823242,16.16765594482422
36,adaptive,1,208,0.2726808786392212,0,0.0,15.620875358581543
37,vanilla,0,204,-0.011136054992675781,5,0.011136054992675781,16.21307373046875
37,adaptive,1,247,0.09941625595092773,0,0.0,15.731157302856445
38,vanilla,1,252,0.01890087127685547,0,0.0,16.033374786376953
38,adaptive,1,237,0.06075644493103027,0,0.0,16.708511352539062
39,vanilla,1,240,0.16893291473388672,0,0.0,16.090970993041992
39,adaptive,1,240,0.14117717742919922,0,0.0,15.832304000854492
40,vanilla,1,247,0.1945323944091797,0,0.0,15.288142204284668
40,adaptive,1,250,0.22684407234191895,0,0.0,15.699527740478516
41,vanilla,0,236,-0.016123652458190918,4,0.016123652458190918,14.146629333496094
41,adaptive,1,242,0.14220619201660156,0,0.0,15.86767578125
42,vanilla,1,206,0.057141780853271484,0,0.0,15.77822494506836
42,adaptive,1,236,0.21210801601409912,0,0.0,15.33660888671875
43,vanilla,1,207,0.12827718257904053,0,0.0,15.299697875976562
43,adaptive,1,252,0.2145923376083374,0,0.0,15.6478271484375
44,vanilla,1,191,0.13814377784729004,0,0.0,14.863466262817383
44,adaptive,1,275,0.08547747135162354,0,0.0,17.83173942565918
45,vanilla,1,202,0.11402654647827148,0,0.0,15.394633293151855
45,adaptive,1,243,0.1846468448638916,0,0.0,15.760504722595215
46,vanilla,1,237,0.15342485904693604,0,0.0,15.290406227111816
46,adaptive,1,237,0.2328566312789917,0,0.0,15.459972381591797
47,vanilla,1,200,0.07741820812225342,0,0.0,15.261914253234863
47,adaptive,1,243,0.27798521518707275,0,0.0,15.232767105102539
48,vanilla,0,268,-0.06843304634094238,10,0.06843304634094238,18.278390884399414
48,adaptive,0,260,-0.07385826110839844,12,0.07385826110839844,17.18138313293457
49,vanilla,1,247,0.008338451385498047,0,0.0,16.68720245361328
49,adaptive,1,245,0.08033609390258789,0,0.0,17.66792869567871
