seed,method,success,t_goal,min_clearance,viols,max_penetration,path_len
0,vanilla,0,239,-0.032727956771850586,8,0.032727956771850586,17.0740909576416
0,adaptive,1,251,0.08034086227416992,0,0.0,16.94875144958496
1,vanilla,1,189,0.025068163871765137,0,0.0,16.051773071289062
1,adaptive,1,259,0.012936711311340332,0,0.0,17.616830825805664
2,vanilla,1,234,0.034691452980041504,0,0.0,16.88823699951172
2,adaptive,1,252,0.12398803234100342,0,0.0,16.804622650146484
3,vanilla,1,227,0.041835784912109375,0,0.0,15.768049240112305
3,adaptive,1,233,0.12441122531890869,0,0.0,16.247222900390625
4,vanilla,0,232,-0.06507408618927002,12,0.06507408618927002,16.132713317871094
4,adaptive,1,239,0.07054245471954346,0,0.0,17.672061920166016
5,vanilla,1,192,0.12629425525665283,0,0.0,16.45829963684082
5,adaptive,1,234,0.18737709522247314,0,0.0,16.634387969970703
6,vanilla,0,246,-0.11281394958496094,15,0.11281394958496094,16.876317977905273
6,adaptive,1,242,0.22956204414367676,0,0.0,15.63360595703125
7,vanilla,1,183,0.11130118370056152,0,0.0,15.485471725463867
7,adaptive,1,235,0.09343421459197998,0,0.0,17.10216522216797
8,vanilla,1,230,0.02230250835418701,0,0.0,15.837186813354492
8,adaptive,1,247,0.12172627449035645,0,0.0,16.936933517456055
9,vanilla,0,235,-0.02037942409515381,7,0.02037942409515381,15.83296012878418
9,adaptive,1,242,0.06143951416015625,0,0.0,17.948257446289062
10,vanilla,1,192,0.05254828929901123,0,0.0,16.05437469482422
10,adaptive,1,256,0.01234745979309082,0,0.0,17.652782440185547
11,vanilla,0,233,-0.06882131099700928,12,0.06882131099700928,17.64307403564453
11,adaptive,1,240,0.19775521755218506,0,0.0,16.087284088134766
12,vanilla,1,230,0.1038292646408081,0,0.0,15.658349990844727
12,adaptive,1,249,0.18952488899230957,0,0.0,16.58602523803711
13,vanilla,1,190,0.14352726936340332,0,0.0,15.31019115447998
13,adaptive,1,247,0.06025278568267822,0,0.0,17.336008071899414
14,vanilla,1,234,0.12869000434875488,0,0.0,15.90562915802002
14,adaptive,1,251,0.10456681251525879,0,0.0,16.76559829711914
15,vanilla,1,188,2.9802322387695312e-06,0,0.0,16.30621337890625
15,adaptive,1,270,0.017464518547058105,0,0.0,17.790294647216797
16,vanilla,0,192,-0.014480829238891602,5,0.014480829238891602,16.071584701538086
16,adaptive,1,228,0.010326266288757324,0,0.0,16.456649780273438
17,vanilla,0,193,-0.1328732967376709,16,0.1328732967376709,16.245664596557617
17,adaptive,1,240,0.06968224048614502,0,0.0,17.077306747436523
18,vanilla,0,243,-0.06763660907745361,12,0.06763660907745361,16.699615478515625
18,adaptive,1,219,0.1203615665435791,0,0.0,15.82248592376709
19,vanilla,1,232,0.008478879928588867,0,0.0,16.082080841064453
19,adaptive,1,233,0.1428067684173584,0,0.0,16.146526336669922
20,vanilla,1,242,0.09143006801605225,0,0.0,16.00400161743164
20,adaptive,1,231,0.0909433364868164,0,0.0,16.65218734741211
21,vanilla,1,188,0.12617015838623047,0,0.0,14.82213306427002
21,adaptive,1,231,0.12022340297698975,0,0.0,16.624113082885742
22,vanilla,0,232,-0.03185379505157471,8,0.03185379505157471,16.330081939697266
22,adaptive,1,239,0.11096799373626709,0,0.0,16.092172622680664
