seed,method,success,t_goal,min_clearance,viols,max_penetration,path_len
0,vanilla,1,262,0.04864859580993652,0,0.0,15.70154857635498
0,adaptive,1,230,0.18199169635772705,0,0.0,16.15937042236328
1,vanilla,1,238,0.10707581043243408,0,0.0,16.556169509887695
1,adaptive,1,226,0.06941640377044678,0,0.0,16.976451873779297
2,vanilla,1,236,0.11265301704406738,0,0.0,15.316225051879883
2,adaptive,1,246,0.15010905265808105,0,0.0,16.021181106567383
3,vanilla,1,223,0.1406489610671997,0,0.0,14.484580039978027
3,adaptive,1,227,0.10682320594787598,0,0.0,16.79464340209961
4,vanilla,0,244,-0.04749488830566406,9,0.04749488830566406,17.013526916503906
4,adaptive,1,234,0.15453052520751953,0,0.0,16.521989822387695
5,vanilla,0,191,-0.050019145011901855,10,0.050019145011901855,16.349655151367188
5,adaptive,1,250,0.2189263105392456,0,0.0,16.316511154174805
6,vanilla,1,232,0.15776968002319336,0,0.0,15.715928077697754
6,adaptive,1,236,0.06960141658782959,0,0.0,16.7677001953125
7,vanilla,1,189,0.1528618335723877,0,0.0,15.073394775390625
7,adaptive,1,241,0.13373351097106934,0,0.0,16.37411880493164
8,vanilla,1,221,0.03449273109436035,0,0.0,16.186113357543945
8,adaptive,1,232,0.25314390659332275,0,0.0,15.121983528137207
9,vanilla,0,240,-0.01169741153717041,5,0.01169741153717041,17.65085220336914
9,adaptive,1,230,0.03373265266418457,0,0.0,17.267269134521484
10,vanilla,1,195,0.010662317276000977,0,0.0,16.377296447753906
10,adaptive,1,243,0.08593523502349854,0,0.0,17.184085845947266
11,vanilla,0,235,-0.09616518020629883,13,0.09616518020629883,16.818296432495117
11,adaptive,1,243,0.08141899108886719,0,0.0,16.96099090576172
12,vanilla,0,192,-0.0701974630355835,13,0.0701974630355835,16.88368034362793
12,adaptive,1,259,0.09432804584503174,0,0.0,17.187828063964844
13,vanilla,0,241,-0.018419384956359863,7,0.018419384956359863,16.537424087524414
13,adaptive,1,234,0.16320538520812988,0,0.0,16.311166763305664
14,vanilla,1,194,0.0183335542678833,0,0.0,16.62512969970703
14,adaptive,1,233,0.028058528900146484,0,0.0,16.939620971679688
15,vanilla,1,231,0.08037805557250977,0,0.0,15.715534210205078
15,adaptive,1,201,0.21053659915924072,0,0.0,15.984652519226074
16,vanilla,0,196,-0.15632295608520508,17,0.15632295608520508,17.442852020263672
16,adaptive,1,239,0.02623116970062256,0,0.0,16.975088119506836
17,vanilla,0,239,-0.1624443531036377,19,0.1624443531036377,16.88384437561035
17,adaptive,0,270,-0.014225006103515625,5,0.014225006103515625,17.83819007873535
18,vanilla,1,186,0.05765390396118164,0,0.0,16.22185516357422
18,adaptive,1,240,0.10782921314239502,0,0.0,16.688566207885742
19,vanilla,1,224,0.06477558612823486,0,0.0,15.991331100463867
19,adaptive,1,230,0.1248934268951416,0,0.0,16.05015754699707
20,vanilla,1,184,0.022210240364074707,0,0.0,15.470791816711426
20,adaptive,0,248,-0.007790803909301758,3,0.007790803909301758,17.49814224243164
21,vanilla,1,233,0.10248827934265137,0,0.0,15.665454864501953
21,adaptive,1,253,0.0938647985458374,0,0.0,17.138185501098633
22,vanilla,1,220,0.10505759716033936,0,0.0,16.356632232666016
22,adaptive,1,230,0.12395501136779785,0,0.0,16.12259864807129
23,vanilla,1,233,0.14992427825927734,0,0.0,15.277328491210938
23,adaptive,1,228,0.0960078239440918,0,0.0,16.30034065246582
24,vanilla,1,198,0.031681060791015625,0,0.0,16.079017639160156
24,adaptive,0,260,-0.13860738277435303,15,0.13860738277435303,18.054962158203125
25,vanilla,0,240,-0.04339003562927246,10,0.04339003562927246,16.868141174316406
25,adaptive,1,234,0.05239546298980713,0,0.0,16.431137084960938
26,vanilla,1,187,0.1312035322189331,0,0.0,15.45922565460205
26,adaptive,1,234,0.09083795547485352,0,0.0,16.4694881439209
27,vanilla,1,193,0.08909475803375244,0,0.0,16.119647979736328
27,adaptive,1,255,0.2504774332046509,0,0.0,16.638240814208984
28,vanilla,1,227,0.054022789001464844,0,0.0,16.246870040893555
28,adaptive,1,231,0.2869563102722168,0,0.0,15.578079223632812
29,vanilla,0,242,-0.0881568193435669,12,0.0881568193435669,17.823387145996094
29,adaptive,1,240,0.16078722476959229,0,0.0,16.209468841552734
30,vanilla,1,194,0.1579723358154297,0,0.0,15.779191017150879
30,adaptive,1,221,0.33097708225250244,0,0.0,14.762866973876953
31,vanilla,1,220,0.1430901288986206,0,0.0,14.578393936157227
31,adaptive,1,240,0.00733792781829834,0,0.0,17.285892486572266
32,vanilla,1,192,0.032219529151916504,0,0.0,16.224029541015625
32,adaptive,1,240,0.09931433200836182,0,0.0,16.443653106689453
33,vanilla,1,220,0.1412879228591919,0,0.0,15.320737838745117
33,adaptive,1,255,0.2194751501083374,0,0.0,16.56454086303711
34,vanilla,1,237,0.1218034029006958,0,0.0,16.31710433959961
34,adaptive,1,236,0.04292190074920654,0,0.0,16.942312240600586
35,vanilla,0,230,-0.040358781814575195,10,0.040358781814575195,16.54082489013672
35,adaptive,1,234,0.15086817741394043,0,0.0,16.28308868408203
36,vanilla,1,243,0.04702413082122803,0,0.0,16.091644287109375
36,adaptive,1,239,0.14000380039215088,0,0.0,16.37265968322754
37,vanilla,1,187,0.11186325550079346,0,0.0,15.262373924255371
37,adaptive,1,238,0.10423493385314941,0,0.0,16.32012367248535
38,vanilla,0,195,-0.11262679100036621,14,0.11262679100036621,16.626747131347656
38,adaptive,1,251,0.11486101150512695,0,0.0,17.305789947509766
39,vanilla,0,235,-0.05679500102996826,10,0.05679500102996826,16.875263214111328
39,adaptive,1,238,0.21135401725769043,0,0.0,15.796393394470215
40,vanilla,0,239,-0.027572035789489746,9,0.027572035789489746,16.514509201049805
40,adaptive,1,223,0.06704115867614746,0,0.0,17.109968185424805
41,vanilla,0,233,-0.018795251846313477,6,0.018795251846313477,16.957979202270508
41,adaptive,1,230,0.12549984455108643,0,0.0,16.722068786621094
42,vanilla,0,232,-0.05615735054016113,10,0.05615735054016113,16.524980545043945
42,adaptive,1,237,0.12700951099395752,0,0.0,16.373640060424805
43,vanilla,1,200,0.07276320457458496,0,0.0,15.716458320617676
