seed,method,success,t_goal,first_goal_step,min_clr,viols,plen,energy_cmd,energy_exec
45,van,0.0,201.0,17.0,-0.006497825620388503,3.0,5.219700814405066,3140.37353515625,1154.8701171875
45,rc,1.0,19.0,19.0,0.03334550788709706,0.0,3.703302059300917,1222.949951171875,518.8895874023438
46,van,0.0,201.0,17.0,-0.02433353222925458,6.0,5.523965308865366,3425.643310546875,1268.22802734375
46,rc,1.0,18.0,18.0,0.005685776035231016,0.0,4.106006567479877,1512.619140625,637.0479736328125
47,van,0.0,201.0,17.0,-0.000684022800265055,2.0,5.475386900272495,3320.299072265625,1247.768798828125
47,rc,1.0,18.0,18.0,0.01965491284544893,0.0,3.8463673865594425,1377.5645751953125,567.3878784179688
48,van,1.0,17.0,17.0,0.008165875078018359,0.0,5.189473404909888,3194.44384765625,1195.450439453125
48,rc,1.0,18.0,18.0,0.026019599421389927,0.0,3.75251320534804,1254.08056640625,525.6004638671875
49,van,0.0,201.0,17.0,-0.004003503898422023,3.0,5.528001400070523,3519.921875,1299.5592041015625
49,rc,1.0,18.0,18.0,0.03159556269096067,0.0,3.7573252330210645,1287.74169921875,541.3289794921875
