seed,method,success,t_goal,first_goal_step,min_clr,viols,plen,energy_cmd,energy_exec
30,van,0.0,201.0,16.0,-0.011280834674835205,3.0,5.38175438260704,3411.093017578125,1219.9765625
30,rc,1.0,17.0,17.0,0.022519856691360474,0.0,3.8015743247890144,1325.460205078125,541.6932983398438
31,van,0.0,201.0,16.0,-0.03076593577861786,12.0,5.938084036895134,4018.26171875,1482.103759765625
31,rc,1.0,17.0,17.0,0.006572052836418152,0.0,4.115295104171781,1534.955078125,632.4049072265625
32,van,0.0,201.0,17.0,-0.015565797686576843,8.0,5.558401448116905,3729.38818359375,1367.007080078125
32,rc,1.0,18.0,18.0,0.02814917266368866,0.0,3.7765195761401813,1284.3846435546875,531.46875
33,van,0.0,201.0,16.0,-0.01166599988937378,4.0,5.606525003036209,3611.2275390625,1314.74462890625
33,rc,0.0,201.0,17.0,-0.0044379085302352905,3.0,4.265287064243939,1629.589599609375,666.8571166992188
34,van,0.0,201.0,17.0,-0.010801836848258972,4.0,5.238286655282117,3178.71630859375,1169.0435791015625
34,rc,1.0,18.0,18.0,0.006107926368713379,0.0,4.1626724130803145,1535.27685546875,636.315673828125
35,van,0.0,201.0,17.0,-0.012984603643417358,4.0,5.16942259201049,3004.979736328125,1112.3929443359375
35,rc,1.0,17.0,17.0,0.00814315676689148,0.0,3.9614379034654834,1436.6156005859375,581.573974609375
36,van,1.0,17.0,17.0,0.004404082894325256,0.0,5.244029619898676,3274.1181640625,1188.38427734375
36,rc,1.0,18.0,18.0,0.03923819959163666,0.0,3.581007786960382,1197.39453125,486.2161865234375
37,van,0.0,201.0,16.0,-0.017252862453460693,5.0,5.548482358641612,3456.42822265625,1263.5333251953125
37,rc,1.0,17.0,17.0,0.01119355857372284,0.0,3.9366387668868312,1439.8812255859375,579.5533447265625
38,van,0.0,201.0,17.0,-0.01051756739616394,4.0,5.338869928768668,3235.800537109375,1171.882080078125
38,rc,1.0,18.0,18.0,0.0265207439661026,0.0,3.7720636648110792,1281.27197265625,520.2374877929688
39,van,0.0,201.0,16.0,-0.024002566933631897,8.0,5.774393146164881,3746.712890625,1380.8427734375
39,rc,1.0,17.0,17.0,0.00989195704460144,0.0,4.084705257283311,1484.218994140625,628.3837890625
40,van,1.0,17.0,17.0,0.0014464259147644043,0.0,5.272603905239224,3208.9873046875,1195.2601318359375
40,rc,1.0,18.0,18.0,0.02455216646194458,0.0,3.7302124561938417,1228.043212890625,519.4182739257812
41,van,0.0,201.0,16.0,-0.04869718849658966,16.0,6.14000798558188,3956.860595703125,1450.7044677734375
41,rc,1.0,17.0,17.0,0.007916688919067383,0.0,4.097248398174431,1510.3236083984375,626.6519165039062
42,van,1.0,17.0,17.0,0.021584942936897278,0.0,5.094827782641947,3025.385986328125,1110.9755859375
42,rc,1.0,18.0,18.0,0.03164529800415039,0.0,3.650101393697901,1234.828369140625,502.20526123046875
43,van,0.0,201.0,17.0,-0.004528507590293884,2.0,5.5336037212143125,3451.382080078125,1274.8782958984375
43,rc,1.0,18.0,18.0,0.020014673471450806,0.0,3.868537743063352,1333.9730224609375,559.6287231445312
44,van,0.0,201.0,17.0,-0.015672072768211365,4.0,5.511980880335108,3531.807373046875,1303.8172607421875
44,rc,1.0,18.0,18.0,0.011595740914344788,0.0,3.9863821986060444,1468.7589111328125,589.0511474609375
45,van,0.0,201.0,17.0,-0.015970319509506226,8.0,5.591098718836658,3725.5224609375,1377.9532470703125
45,rc,1.0,18.0,18.0,0.007726877927780151,0.0,4.096729826627587,1556.5723876953125,639.856201171875
46,van,1.0,16.0,16.0,0.008264869451522827,0.0,5.355150341669327,3371.465087890625,1258.5648193359375
46,rc,1.0,18.0,18.0,0.03149004280567169,0.0,3.75057522332538,1320.27685546875,557.6852416992188
47,van,0.0,201.0,16.0,-0.00011110305786132812,1.0,4.918844839717522,2872.778076171875,1027.8685302734375
47,rc,1.0,18.0,18.0,0.020893767476081848,0.0,3.8827173938544113,1360.992431640625,553.2177734375
48,van,1.0,17.0,17.0,0.02638918161392212,0.0,4.804261241089804,2748.0439453125,1008.10009765625
48,rc,1.0,18.0,18.0,0.029350459575653076,0.0,3.7245368926419866,1224.2779541015625,505.9454345703125
49,van,0.0,201.0,17.0,-0.008267298340797424,4.0,5.494044159330825,3529.6455078125,1298.810791015625
49,rc,1.0,18.0,18.0,0.02216951549053192,0.0,3.8084657339646983,1323.9603271484375,560.7232666015625
